headers,moves,lichess_id,white_elo,black_elo,ECO,opening_name,event,player_color,score
"{'_tag_roster': {'Event': 'Rated Blitz game', 'Site': 'https://lichess.org/lOf8bU0J', 'Date': '2023.04.01', 'Round': '?', 'White': 'Apendra', 'Black': 'jbanjonegro', 'Result': '1-0'}, '_others': {'UTCDate': '2023.04.01', 'UTCTime': '15:51:21', 'WhiteElo': '1820', 'BlackElo': '1833', 'WhiteRatingDiff': '+11', 'BlackRatingDiff': '-6', 'Variant': 'Standard', 'TimeControl': '180+2', 'ECO': 'B22', 'Opening': 'Sicilian Defense: Alapin Variation', 'Termination': 'Normal'}}","['e2e4', 'c7c5', 'c2c3', 'd7d5', 'e4e5', 'a7a6', 'd2d4', 'c5d4', 'c3d4', 'b8c6', 'g1f3', 'c8g4', 'f1e2', 'e7e6', 'h2h3', 'g4h5', 'a2a3', 'd8b6', 'b1c3', 'h5f3', 'e2f3', 'c6d4', 'e1g1', 'd4f3', 'd1f3', 'g8e7', 'a1b1', 'e7g6', 'f3g3', 'b6d8']",https://lichess.org/lOf8bU0J,1820.0,1833.0,B22,Sicilian Defense: Alapin Variation,Rated Blitz game,White,1.0
"{'_tag_roster': {'Event': 'Rated Blitz game', 'Site': 'https://lichess.org/YEzBACyP', 'Date': '2023.04.01', 'Round': '?', 'White': 'Apendra', 'Black': 'rafaelhenriqucechin', 'Result': '1-0'}, '_others': {'UTCDate': '2023.04.01', 'UTCTime': '15:35:07', 'WhiteElo': '1808', 'BlackElo': '1825', 'WhiteRatingDiff': '+12', 'BlackRatingDiff': '-6', 'Variant': 'Standard', 'TimeControl': '180+2', 'ECO': 'C25', 'Opening': 'Vienna Game: Max Lange Defense', 'Termination': 'Normal'}}","['e2e4', 'e7e5', 'b1c3', 'b8c6', 'f1c4', 'f8c5', 'd1g4', 'g7g6', 'g4f3', 'd7d5', 'c4d5', 'd8e7', 'h2h3', 'c6d4', 'f3d1', 'g8f6', 'd2d3', 'f6d5', 'c3d5', 'e7d7', 'd5f6']",https://lichess.org/YEzBACyP,1808.0,1825.0,C25,Vienna Game: Max Lange Defense,Rated Blitz game,White,1.0
"{'_tag_roster': {'Event': 'Rated Blitz game', 'Site': 'https://lichess.org/o2Ei003Q', 'Date': '2023.04.01', 'Round': '?', 'White': 'SzB_23', 'Black': 'Apendra', 'Result': '1/2-1/2'}, '_others': {'UTCDate': '2023.04.01', 'UTCTime': '14:08:55', 'WhiteElo': '1801', 'BlackElo': '1808', 'WhiteRatingDiff': '+0', 'BlackRatingDiff': '+0', 'Variant': 'Standard', 'TimeControl': '180+2', 'ECO': 'D02', 'Opening': ""Queen's Pawn Game: Chigorin Variation"", 'Termination': 'Normal'}}","['g1f3', 'b8c6', 'd2d4', 'd7d5', 'e2e3', 'c8f5', 'a2a3', 'e7e6', 'c2c4', 'd5c4', 'f1c4', 'g8f6', 'e1g1', 'f6e4', 'b1c3', 'f8d6', 'c3e4', 'f5e4', 'c4d3', 'e4g6', 'b2b4', 'a7a6', 'c1b2', 'g6d3', 'd1d3', 'e8g8', 'a1c1', 'c6e7', 'd3e4', 'a8b8']",https://lichess.org/o2Ei003Q,1801.0,1808.0,D02,Queen's Pawn Game: Chigorin Variation,Rated Blitz game,Black,0.5
"{'_tag_roster': {'Event': 'Rated Blitz game', 'Site': 'https://lichess.org/d9WwL8A4', 'Date': '2023.04.01', 'Round': '?', 'White': 'Apendra', 'Black': 'MuffMuffMuff', 'Result': '1-0'}, '_others': {'UTCDate': '2023.04.01', 'UTCTime': '13:30:29', 'WhiteElo': '1797', 'BlackElo': '1762', 'WhiteRatingDiff': '+11', 'BlackRatingDiff': '-5', 'Variant': 'Standard', 'TimeControl': '180+2', 'ECO': 'B00', 'Opening': 'Pirc Defense', 'Termination': 'Normal'}}","['e2e4', 'd7d6', 'd2d4', 'b7b6', 'f2f4', 'c8b7', 'b1c3', 'g8f6', 'f1d3', 'b8d7', 'g1f3', 'e7e6', 'e1g1', 'f8e7', 'e4e5', 'b7f3', 'd1f3', 'd6e5', 'd4e5', 'f6g8', 'd3b5', 'a8b8', 'f1d1', 'e7c5', 'g1h1', 'g8e7', 'd1d7', 'd8d7', 'b5d7', 'e8d7']",https://lichess.org/d9WwL8A4,1797.0,1762.0,B00,Pirc Defense,Rated Blitz game,White,1.0
"{'_tag_roster': {'Event': 'Rated Blitz game', 'Site': 'https://lichess.org/tRfwDlcg', 'Date': '2023.04.01', 'Round': '?', 'White': 'hans1hans1', 'Black': 'Apendra', 'Result': '0-1'}, '_others': {'UTCDate': '2023.04.01', 'UTCTime': '12:29:12', 'WhiteElo': '1807', 'BlackElo': '1784', 'WhiteRatingDiff': '-6', 'BlackRatingDiff': '+13', 'Variant': 'Standard', 'TimeControl': '180+2', 'ECO': 'D00', 'Opening': ""Queen's Pawn Game: Chigorin Variation, Alburt Defense"", 'Termination': 'Time forfeit'}}","['d2d4', 'd7d5', 'b1c3', 'c8f5', 'c1f4', 'e7e6', 'a2a3', 'f8d6', 'f4d6', 'd8d6', 'c3b5', 'd6d8', 'e2e3', 'a7a6', 'b5c3', 'g8f6', 'c3a2', 'e8g8', 'c2c4', 'c7c6', 'g1f3', 'd8b6', 'b2b4', 'b8d7', 'c4c5', 'b6c7', 'a2c3', 'b7b6', 'h2h3', 'b6c5']",https://lichess.org/tRfwDlcg,1807.0,1784.0,D00,"Queen's Pawn Game: Chigorin Variation, Alburt Defense",Rated Blitz game,Black,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/6ekP2Kft', 'Date': '2023.04.01', 'Round': '?', 'White': 'Ammuteddy', 'Black': 'Apendra', 'Result': '1-0'}, '_others': {'UTCDate': '2023.04.01', 'UTCTime': '12:18:27', 'WhiteElo': '1610', 'BlackElo': '1584', 'WhiteRatingDiff': '+5', 'BlackRatingDiff': '-6', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C20', 'Opening': ""King's Pawn Game: Leonardis Variation"", 'Termination': 'Time forfeit'}}","['e2e4', 'e7e5', 'd2d3', 'b8c6', 'f1e2', 'f8c5', 'g1f3', 'g8f6', 'e1g1', 'd7d6', 'c1d2', 'h7h6', 'd2c3', 'c8e6', 'd3d4', 'e5d4', 'f3d4', 'c6d4', 'c3d4', 'c5d4', 'd1d4', 'a7a6', 'e2d3', 'd8d7', 'e4e5', 'd6e5', 'd4e5', 'e8g8', 'f1d1', 'd7c6']",https://lichess.org/6ekP2Kft,1610.0,1584.0,C20,King's Pawn Game: Leonardis Variation,Rated Bullet game,Black,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/bxBYddbB', 'Date': '2023.03.31', 'Round': '?', 'White': 'Apendra', 'Black': 'BeFriendly', 'Result': '0-1'}, '_others': {'UTCDate': '2023.03.31', 'UTCTime': '09:58:45', 'WhiteElo': '1589', 'BlackElo': '1661', 'WhiteRatingDiff': '-5', 'BlackRatingDiff': '+5', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C00', 'Opening': ""French Defense: Queen's Knight"", 'Termination': 'Time forfeit'}}","['e2e4', 'e7e6', 'b1c3', 'd7d5', 'e4d5', 'e6d5', 'd2d4', 'f8e7', 'g1f3', 'g8f6', 'c1g5', 'h7h6', 'g5h4', 'e8g8', 'f1d3', 'b8c6', 'h2h3', 'f6e4', 'h4e7', 'd8e7', 'd3e4', 'd5e4', 'f3d2', 'c8f5', 'e1g1', 'e7g5', 'd2e4', 'f5e4', 'c3e4', 'g5g6']",https://lichess.org/bxBYddbB,1589.0,1661.0,C00,French Defense: Queen's Knight,Rated Bullet game,White,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/gcneouws', 'Date': '2023.03.31', 'Round': '?', 'White': 'Apendra', 'Black': 'danfjd', 'Result': '0-1'}, '_others': {'UTCDate': '2023.03.31', 'UTCTime': '07:57:51', 'WhiteElo': '1595', 'BlackElo': '1669', 'WhiteRatingDiff': '-6', 'BlackRatingDiff': '+5', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C00', 'Opening': ""French Defense: Queen's Knight"", 'Termination': 'Time forfeit'}}","['e2e4', 'e7e6', 'b1c3', 'd7d5', 'e4e5', 'c7c5', 'f1b5', 'b8c6', 'd2d4', 'c8d7', 'b5c6', 'c5d4', 'c6d7', 'd8d7', 'd1d4', 'a8c8', 'f2f4', 'f8c5', 'd4d1', 'd5d4', 'c3e4', 'c5e7', 'g1f3', 'f7f6', 'e5f6', 'g8f6', 'e4f6', 'e7f6', 'e1g1', 'e8g8']",https://lichess.org/gcneouws,1595.0,1669.0,C00,French Defense: Queen's Knight,Rated Bullet game,White,0.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/F1oJaKgn', 'Date': '2023.03.31', 'Round': '?', 'White': 'enjoyneering', 'Black': 'Apendra', 'Result': '0-1'}, '_others': {'UTCDate': '2023.03.31', 'UTCTime': '06:46:51', 'WhiteElo': '1560', 'BlackElo': '1588', 'WhiteRatingDiff': '-5', 'BlackRatingDiff': '+7', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C50', 'Opening': 'Italian Game: Giuoco Pianissimo, Normal', 'Termination': 'Time forfeit'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'f8c5', 'd2d3', 'g8f6', 'c1g5', 'h7h6', 'g5h4', 'd7d6', 'h2h3', 'c8e6', 'c4e6', 'f7e6', 'e1g1', 'e8g8', 'b1d2', 'c6d4', 'f3d4', 'c5d4', 'c2c3', 'd4b6', 'd2c4', 'd8d7', 'h4f6', 'f8f6', 'a2a4', 'd7c6']",https://lichess.org/F1oJaKgn,1560.0,1588.0,C50,"Italian Game: Giuoco Pianissimo, Normal",Rated Bullet game,Black,1.0
"{'_tag_roster': {'Event': 'Rated Bullet game', 'Site': 'https://lichess.org/1HcbMXJw', 'Date': '2023.03.30', 'Round': '?', 'White': 'Apendra', 'Black': 'menes144', 'Result': '0-1'}, '_others': {'UTCDate': '2023.03.30', 'UTCTime': '10:51:16', 'WhiteElo': '1596', 'BlackElo': '1559', 'WhiteRatingDiff': '-8', 'BlackRatingDiff': '+40', 'Variant': 'Standard', 'TimeControl': '60+0', 'ECO': 'C47', 'Opening': 'Four Knights Game: Italian Variation', 'Termination': 'Time forfeit'}}","['e2e4', 'e7e5', 'b1c3', 'b8c6', 'f1c4', 'g8f6', 'g1f3', 'd7d5', 'e4d5', 'c6b4', 'f3e5', 'f6d5', 'c3d5', 'b4d5', 'e1g1', 'f7f6', 'e5f3', 'c7c6', 'f1e1', 'f8e7', 'd2d3', 'e8g8', 'b2b3', 'b7b5', 'c4d5', 'c6d5', 'c1b2', 'c8g4', 'h2h3', 'g4f3']",https://lichess.org/1HcbMXJw,1596.0,1559.0,C47,Four Knights Game: Italian Variation,Rated Bullet game,White,0.0
